K17129	ko05206
K15872	ko00121
K18052	ko04064 ko04140 ko04270 ko04658 ko04659 ko04660 ko04750 ko04920 ko04931 ko05131 ko05235
K07782	ko02020 ko02024 ko02026
K01646	ko02020
K02447	ko04013 ko04320
K02708	ko00195
K10884	ko03450
K07518	ko00650
K02880	ko03010 ko05171
K20591	ko00524
K04789	ko01053
K08887	ko04012 ko04014 ko05416
K16333	ko04151 ko04152 ko04922 ko04931 ko05166
K04354	ko03015 ko04071 ko04111 ko04151 ko04152 ko04261 ko04390 ko04391 ko04530 ko04728 ko05142 ko05160 ko05165
K18853	ko00790
K03051	ko03020
K14279	ko03013 ko03040
K10049	ko05152
K09020	ko00240
K04994	ko04020
K07308	ko00920
K19457	ko05169 ko05203
K18750	ko05170
K04533	ko05016 ko05022
K15893	ko00260 ko00630
K21465	ko00550
K21297	ko00253 ko01057
K04687	ko03050 ko04060 ko04066 ko04217 ko04350 ko04380 ko04612 ko04630 ko04650 ko04657 ko04658 ko04659 ko04660 ko04940 ko05140 ko05142 ko05143 ko05144 ko05145 ko05146 ko05152 ko05160 ko05164 ko05168 ko05200 ko05235 ko05321 ko05322 ko05323 ko05330 ko05332 ko05418
K13775	ko00281
K12409	ko00520
K10989	ko04672 ko05340
K20341	ko02024
K12474	ko04144 ko04979
K15667	ko01054
K12635	ko00998
K12871	ko03040
K10062	ko04145
K04790	ko01053
K08599	ko05135
K00759	ko00230
K17865	ko00630 ko00650
K05638	ko04141 ko04212 ko05012 ko05200 ko05225 ko05418
K00802	ko00270 ko00330 ko00480
K18096	ko02024
K14349	ko04927 ko04934 ko04976 ko04979
K00830	ko00250 ko00260 ko00630 ko00680 ko04146
K04943	ko04726 ko04911 ko04929 ko04976
K14568	ko03008
K11050	ko02010
K06114	ko04210
K11153	ko00830
K01164	ko03008 ko03013
K03193	ko00532
K06554	ko05340
K05080	ko04060 ko04080 ko04151 ko04630 ko04935
K04538	ko04014 ko04062 ko04151 ko04371 ko04713 ko04723 ko04724 ko04725 ko04726 ko04727 ko04728 ko04926 ko05032 ko05034 ko05163 ko05167 ko05170 ko05200
K11637	ko02020
K00932	ko00640
K19692	ko02020
K01896	ko00650
K01438	ko00220
K03006	ko03020 ko05016
K10935	ko05110 ko05111
K11953	ko02010
K20276	ko02024
K20588	ko00524
K05468	ko04060 ko04061 ko04064 ko04668 ko04940 ko05166 ko05168
K14001	ko04141
K07689	ko02020 ko02025 ko02026 ko05111
K01379	ko04071 ko04140 ko04142 ko04210 ko04915 ko05152 ko05415
K13843	ko05144
K16063	ko04120 ko04630
K20569	ko00524
K15747	ko00906
K03419	ko00532
K06001	ko00260 ko00400
K13035	ko00460
K19744	ko00472
K04282	ko04020 ko04080
K05731	ko04014 ko04015 ko04024 ko04062 ko04530 ko04810 ko05205
K10652	ko04064 ko04622 ko05164
K16002	ko00522 ko01052
K02726	ko03050 ko05010 ko05012 ko05014 ko05016 ko05017 ko05020 ko05022
K00818	ko00220
K02993	ko03010 ko05171
K13113	ko04212
K16066	ko00240 ko00260
K20570	ko00524
K11487	ko04550
K08399	ko04310
K06272	ko03320 ko04360 ko04510 ko05100 ko05131 ko05213
K20769	ko00073
K12567	ko05410 ko05414
K03523	ko02010
K20244	ko04341
K12632	ko00998
K05226	ko04080 ko04911 ko04972
K10237	ko02010
K12420	ko00253 ko01056
K10250	ko00062 ko01040
K07405	ko00500
K11130	ko03008
K19624	ko02020
K07754	ko04919
K04782	ko01053
K18466	ko04144
K14729	ko00410 ko00640
K04552	ko04120 ko05012 ko05022
K06117	ko00561
K09326	ko04550
K02062	ko02010
K13600	ko00860
K03392	ko00380
K12528	ko00450
K10794	ko00330
K13686	ko00572
K11460	ko04550
K08097	ko00680
K06560	ko04145 ko05152
K03083	ko01521 ko04012 ko04062 ko04110 ko04150 ko04151 ko04310 ko04340 ko04341 ko04360 ko04390 ko04510 ko04550 ko04657 ko04660 ko04662 ko04711 ko04722 ko04728 ko04910 ko04916 ko04917 ko04919 ko04931 ko04932 ko04934 ko04935 ko05010 ko05020 ko05022 ko05131 ko05135 ko05160 ko05162 ko05163 ko05165 ko05167 ko05200 ko05210 ko05213 ko05215 ko05217 ko05224 ko05225 ko05226 ko05415
K05192	ko04080 ko04723 ko04727 ko05032 ko05033
K16411	ko01052
K09354	ko04550
K00951	ko00230
K15921	ko00520
K16065	ko04064 ko04120 ko04630 ko05418
K14479	ko05143
K18056	ko00999
K16381	ko01052
K01232	ko00500
K15293	ko04721
K00253	ko00280
K10066	ko04145
K00063	ko00053
K07091	ko02010
K10428	ko04962 ko05014 ko05016 ko05022 ko05132
K14653	ko00740
K02163	ko05206
K04799	ko03030 ko03410 ko03450
K12455	ko00520 ko00541
K13019	ko00520 ko00541
K02253	ko02020 ko02024
K00507	ko01040 ko03320 ko04152 ko04212
K06035	ko00791
K09840	ko00906
K12825	ko03040
K00808	ko00960
K19107	ko00261
K14250	ko00253 ko01057
K02191	ko00860
K05353	ko00960
K19280	ko00630
K08747	ko04919
K11226	ko04011
K12416	ko04111 ko04113 ko04120
K10981	ko03450
K06677	ko04111
K01661	ko00130
K15512	ko00362
K20530	ko02024
K04009	ko04080 ko04610 ko05150 ko05171
K18093	ko01501 ko02020
K04279	ko04020 ko04080 ko05150
K09970	ko02010
K07371	ko04064 ko04380 ko04662 ko05169 ko05340
K21326	ko00523
K03064	ko03050 ko05010 ko05012 ko05014 ko05016 ko05017 ko05020 ko05022 ko05169
K18359	ko00360
K17901	ko04919 ko04921 ko05167
K17445	ko04022 ko04068 ko04140 ko04152 ko04211 ko04213 ko04910 ko04920 ko04923 ko04930 ko04935 ko05010
K21639	ko00330
K19599	ko04630
K07868	ko04120
K00013	ko00340
K20579	ko00524
K04340	ko00521
K16931	ko04913 ko04925 ko04927 ko04934 ko04979
K13433	ko04626
K07826	ko04014 ko04062 ko04151 ko04371 ko04713 ko04723 ko04724 ko04725 ko04726 ko04727 ko04728 ko04926 ko05032 ko05034 ko05163 ko05167 ko05170 ko05200
K03264	ko03008
K02694	ko00195
K10939	ko05111
K01601	ko00630 ko00710
K10847	ko01524 ko03420
K03237	ko03013 ko04138 ko04140 ko04141 ko04210 ko04932 ko05010 ko05012 ko05014 ko05020 ko05022 ko05160 ko05162 ko05164 ko05168
K12657	ko00330
K00909	ko04062 ko04144 ko04744
K12741	ko03040 ko05014
K06485	ko04151 ko04510 ko04512 ko04514 ko04640 ko04810 ko05145 ko05165 ko05200 ko05222 ko05410 ko05412 ko05414
K09851	ko04391 ko04392
K18251	ko00624
K01615	ko00362 ko00650
K17360	ko00062 ko01040
K00728	ko00514 ko00515
K06896	ko00500
K00282	ko00260 ko00630
K03030	ko03050 ko05010 ko05012 ko05014 ko05016 ko05017 ko05020 ko05022 ko05169
K21155	ko04130 ko04138
K05286	ko00563
K18293	ko00622
K15366	ko05132
K15485	ko04137 ko05134
K04168	ko04080
K15237	ko00361
K12874	ko03040
K03345	ko03013 ko04310
K09525	ko04141
K01401	ko01503 ko05150
K03585	ko01501 ko01503
K02456	ko03070 ko05111
K03370	ko00604
K09516	ko00830
K06571	ko05202
K00919	ko00900
K04221	ko04024 ko04080 ko04935
K05640	ko04630
K10945	ko00680 ko00910
K17744	ko00053
K06516	ko04612 ko04650 ko05332
K01358	ko04112 ko04212
K13581	ko04112
K20909	ko04621
K07181	ko05111
K12495	ko04144
K13977	ko05146
K07102	ko00520
K18592	ko00430 ko00460 ko00480 ko00590
K04180	ko04060 ko04061 ko04062 ko04144 ko05145 ko05163 ko05167 ko05170 ko05203
K09291	ko03013 ko05014 ko05200 ko05216
K13584	ko02020 ko04112
K18895	ko02010
K17389	ko05206
K15965	ko01057
K03891	ko00190
K06881	ko00920
K10705	ko00010
K10986	ko00052 ko02060
K07419	ko00100
K01314	ko04610
K13839	ko05144
K01735	ko00400
K06647	ko04111
K13365	ko04530 ko04928 ko05130 ko05165
K06664	ko04146
K08844	ko05012 ko05022
K02330	ko03410 ko05166 ko05203
K00392	ko00920
K09562	ko04141
K05028	ko04924 ko04972
K13424	ko04016 ko04626
K03816	ko00230
K01184	ko00040
K10439	ko02010 ko02030
K18095	ko01501 ko02020
K16049	ko00984
K20596	ko00524
